category,scheme,url
Multi Cap Funds,Canara Robeco Multi Cap Fund,https://research-host.example/Recommended/Canara%20Robeco%20Multi%20Cap%20Fund.pdf
Multi Cap Funds,Franklin India Opportunities Fund,https://research-host.example/Recommended/Franklin%20India%20Opportunities%20Fund.pdf
Multi Cap Funds,ICICI Pru Multi Cap Fund,https://research-host.example/Recommended/ICICI%20Pru%20Multicap%20Fund.pdf
Multi Cap Funds,Mahindra Manulife Multi Cap Fund,https://research-host.example/Recommended/Mahindra%20Manulife%20Multi%20Cap%20Fund%20(G).pdf
Multi Cap Funds,Nippon India Multi Cap Fund,https://research-host.example/Recommended/Nippon%20India%20Multi%20Cap%20Fund.pdf
Multi Cap Funds,White Oak Capital Multi Cap Fund,https://research-host.example/Recommended/White%20Oak%20Capital%20Multi%20Cap%20Fund.pdf
Flexi Cap Funds,Aditya Birla SL Flexi Cap Fund,https://research-host.example/Recommended/Aditya%20Birla%20SL%20Flexi%20Cap%20Fund.pdf
Flexi Cap Funds,Helios Flexi Cap Fund,https://research-host.example/Recommended/Helios%20Flexi%20Cap%20Fund.pdf
Flexi Cap Funds,Kotak Flexi Cap Fund,https://research-host.example/Recommended/Kotak%20Flexi%20Cap%20Fund.pdf
Flexi Cap Funds,Mirae Asset Flexi Cap Fund,https://research-host.example/Recommended/Mirae%20Asset%20Flexi%20Cap%20Fund.pdf
Flexi Cap Funds,Parag Parikh Flexi Cap Fund,https://research-host.example/Recommended/Parag%20Parikh%20Flexi%20Cap%20Fund.pdf
Flexi Cap Funds,Tata Flexi Cap Fund,https://research-host.example/Recommended/Tata-Flexi%20Cap%20Fund.pdf
Flexi Cap Funds,White Oak Capital Flexi Cap Fund,https://research-host.example/Recommended/White%20Oak%20Capital%20Flexi%20Cap%20Fund.pdf
Large Cap Funds,DSP Large Cap Fund,https://research-host.example/Recommended/DSP%20Large%20Cap%20Fund.pdf
Large Cap Funds,Edelweiss Large Cap Fund,https://research-host.example/Recommended/Edelweiss%20Large%20Cap%20Fund.pdf
Large Cap Funds,Kotak Large Cap Fund,https://research-host.example/Recommended/Kotak%20Large%20Cap%20Fund.pdf
Large Cap Funds,Nippon India Large Cap Fund,https://research-host.example/Recommended/Nippon%20India%20Large%20Cap%20Fund.pdf
Large & Mid Cap Funds,Bandhan Large & Midcap Fund,https://research-host.example/Recommended/Bandhan%20Large%20&%20Mid%20Cap%20Fund.pdf
Large & Mid Cap Funds,HDFC Large & Mid Cap Fund,https://research-host.example/Recommended/HDFC%20Large%20and%20Mid%20Cap%20Fund.pdf
Large & Mid Cap Funds,ICICI Pru Large & Mid Cap Fund,https://research-host.example/Recommended/ICICI%20Pru%20Large%20&%20Mid%20Cap%20Fund.pdf
Large & Mid Cap Funds,Kotak Large & Midcap Fund,https://research-host.example/Recommended/Kotak%20Large%20&%20Midcap%20Fund.pdf
Large & Mid Cap Funds,Motilal Oswal Large and Midcap Fund,https://research-host.example/Recommended/Motilal%20Oswal%20Large%20&%20Midcap%20Fund.pdf
Large & Mid Cap Funds,UTI Large & Mid Cap Fund,https://research-host.example/Recommended/UTI-Large%20&%20Mid%20Cap%20Fund.pdf
Focused Funds,Canara Robeco Focused Fund,https://research-host.example/Recommended/Canara%20Robeco%20Focused%20Fund.pdf
